Year,Number of Pennies,Mass (g),Height (cm),Avg. Mass (g),Avg. Height (cm),Diameter (cm),Volume (1 penny),Density (m/v)
1960,3,9.4,0.452,3.13333333333333,0.150666666666667,1.902,0.428083103649889,7.3194510753126
1961,6,18.5,0.874,3.08333333333333,0.145666666666667,1.902,0.413876805962392,7.44988191875991
1962,4,12.7,0.694,3.175,0.1735,1.902,0.492958529756122,6.44070405186162
1963,5,15.6,0.86,3.12,0.172,1.902,0.488696640449873,6.38432872615589
1964,15,46.5,2.242,3.1,0.149466666666667,1.902,0.42467359220489,7.2997239689544
1965,5,15.3,0.718,3.06,0.1436,1.902,0.408004869584894,7.49991048664017
1966,4,12.4,0.694,3.1,0.1735,1.902,0.492958529756122,6.28856143646331
1967,2,6.2,0.286,3.1,0.143,1.902,0.406300113862394,7.62982803654814
1968,11,33.8,1.738,3.07272727272727,0.158,1.902,0.448919006924883,6.84472527411036
1969,17,52.3,2.502,3.07647058823529,0.147176470588235,1.902,0.418166550754303,7.357046092486
1970,7,21.7,1.04,3.1,0.14857,1.902,2.84125953749926,1.09106540922638
1971,10,31.1,1.51,3.11,0.151,1.902,2.84125953749926,1.0945849750626
1972,15,46.2,2.294,3.08,0.15293333333,1.902,2.84125953749926,1.08402627755396
1973,11,34.1,1.638,3.1,0.1489090909,1.902,2.84125953749926,1.09106540922638
1974,15,46.4,2.256,3.0933,0.1504,1.902,2.84125953749926,1.08870730011612
1975,21,65.1,2.82,3.1,0.1342867,1.902,2.84125953749926,1.09106540922638
1976,18,55.6,2.688,3.088888,0.1493333333,1.902,2.84125953749926,1.08715446766918
1977,25,76.5,3.6280,3.0600,0.14512,1.902,2.84125953749926,1.07698714588153
1978,21,64.8,3.178,3.0857,0.1513,1.902,2.84125953749926,1.0860324300806
1979,30,92.6,4.428,3.0867,0.1476,1.902,2.84125953749926,1.08638438666422
1980,26,80.3,3.8360,3.0885,0.1475,1.902,2.84125953749926,1.08700437172306
1981,27,83.5,3.9480,3.0926,0.1462,1.902,2.84125953749926,1.08845832342178
1982,32,88.4,4.7880,2.7625,0.1496,1.902,2.84125953749926,0.972280062254157
1983,29,73.2,4.2000,2.5241,0.1448,1.902,2.84125953749926,0.888386962796122
1984,24,60.7,3.5140,2.5292,0.1464,1.902,2.84125953749926,0.89015685940916
1985,20,50.5,2.9400,2.5250,0.1470,1.902,2.84125953749926,0.888690373644071
1986,25,63.1,3.7640,2.5240,0.1506,1.902,2.84125953749926,0.88833841706045
1987,30,105.7,4.4580,3.5233,0.1486,1.902,2.84125953749926,1.24006036295945
1988,30,75.1,4.4720,2.5033,0.1491,1.902,2.84125953749926,0.881064647665607
1989,44,110.7,6.5980,2.5159,0.1500,1.902,2.84125953749926,0.885490768338422
1990,16,40,2.4020,2.5000,0.1501,1.91,2.86521103989023,0.872536076817496
1991,19,47.5,2.7220,2.5000,0.1433,1.91,2.86521103989023,0.872536076817496
1992,32,80,4.6210,2.5000,0.1444,1.91,2.86521103989023,0.872536076817496
1993,30,75.1,4.3140,2.5033,0.1438,1.91,2.86521103989023,0.873699458253252
1994,30,75,4.3030,2.5000,0.1434,1.91,2.86521103989023,0.872536076817496
1995,39,97.39,5.4600,2.4972,0.1400,1.91,2.86521103989023,0.871551677141086
1996,32,80,4.5060,2.5000,0.1408,1.91,2.86521103989023,0.872536076817496
1997,16,39.91,2.0100,2.4944,0.1256,1.91,2.86521103989023,0.870572870644656
1998,34,85.4,4.7030,2.5118,0.1383,1.91,2.86521103989023,0.876642128943696
1999,42,105.9,5.7580,2.5214,0.1371,1.91,2.86521103989023,0.880014957475932
2000,81,202.4,11.346,2.4988,0.1401,1.902,2.84125953749926,0.87946911115319
2001,13,32.8,1.816,2.5231,0.1397,1.902,2.84125953749926,0.88802165613519
2002,11,27.7,1.54,2.5182,0.14,1.902,2.84125953749926,0.886297068875446
2003,5,12.6,0.72,2.52,0.144,1.902,2.84125953749926,0.886930590725964
2004,7,20.2,1.13,2.8857,0.1614,1.902,2.84125953749926,1.01564111335632
2005,20,47.6,2.69,2.38,0.1345,1.902,2.84125953749926,0.837656669018966
2006,8,20.3,1.168,2.5375,0.146,1.902,2.84125953749926,0.893089830939339
2007,5,12.7,0.738,2.54,0.1476,1.902,2.84125953749926,0.893969722398392
2008,20,,,,,1.902,2.84125953749926,0
2009,0,,,,,,,
2010,11,27.6,1.574,2.5091,0.1431,1.902,2.84125953749926,0.883094263964491
2011,16,40.01,2.28,2.5006,0.1425,1.902,2.84125953749926,0.880102633003709
2012,6,15.1,0.84,2.5167,0.14,1.902,2.84125953749926,0.885769134000014
2013,4,10.1,0.58,2.525,0.145,1.902,2.84125953749926,0.888690373644071
,,,,,,,,
,,,,,,,,
,GROUPS,,,,,,,
,1960's,Fadi Arbain Oumera,Drew Phelan,,,,,
,1970's,,,,,,,
,1980's,Ken Carlson,David Wiecek,Pulkit Madan,Kedong Li,John Meleedy,,
,1990's,Ashley Smith,Chris Knaub,Jooyoun Chong,,,,
,2000's,Christina Watts,Jillian Kearney,Jenna LaBarre,Kortney Hixson,,,
,2010's,Christina Watts,Jillian Kearney,Jenna LaBarre,Kortney Hixson,,,